Output_Category_Name,Output_Standard_Code,Output_Standard_Name,Output_Indicator_Code,Output_Indicator_Name,Intermediate_Output_Indicator,SOAlign,Reporting_level,Ouptut or Other Output,APR_Include,Data_source,No_of_countries,No_of_measurements,Target,Actual,Progress
Capacity development and technical support provided,4.1,"National actors have increased capacity and knowledge to enhance policies, strategies, processes and programmes, contributing to the achievement of zero hunger and other SDGs",C.8,Value of assets and infrastructure handed over to national stakeholders as part of WFP capacity strengthening support,N/A,TRUE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,12,17,5271783,1257614,24%
Capacity development and technical support provided,4.2,"Components of national emergency preparedness and response, social protection and food systems are strengthened",C.8,Value of assets and infrastructure handed over to national stakeholders as part of WFP capacity strengthening support,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,10,12,1614912,1641144,102%
Resources transferred,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",A.10.2,Total Value (USD) of individual capacity strengthening transfers in support of learning to prevent or treat malnutrition,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,1,1,421427,421427,100%
Resources transferred,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",A.6.1,Number of WFP-assisted health centres or sites,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,6,6,611,518,85%
Resources transferred,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",A.6.2,Number of schools or institutional sites reached through school-based programming,N/A,TRUE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,12,14,13045,13700,105%
Resources transferred,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",A.9,Number of households receiving school-based take-home rations,N/A,TRUE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,3,3,137500,120102,87%
Resources transferred,1.2,"Crisis-affected children, pregnant women and girls and new mothers, and other nutritionally vulnerable populations benefit from programmes to prevent and treat malnutrition and improve diets",A.6.1,Number of WFP-assisted health centres or sites,N/A,TRUE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,12,19,18923,16094,85%
Resources transferred,1.2,"Crisis-affected children, pregnant women and girls and new mothers, and other nutritionally vulnerable populations benefit from programmes to prevent and treat malnutrition and improve diets",A.6.2,Number of schools or institutional sites reached through school-based programming,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,1,1,8,8,100%
Resources transferred,2.1,"Food-insecure populations have increased and sustained access to nutritious food, cash-based assistance, new or improved skills and services to meet their food and nutrition needs",A.6.2,Number of schools or institutional sites reached through school-based programming,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,2,3,4007,11475,286%
Resources transferred,2.1,"Food-insecure populations have increased and sustained access to nutritious food, cash-based assistance, new or improved skills and services to meet their food and nutrition needs",A.9,Number of households receiving school-based take-home rations,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,2,2,15000,13387,89%
Resources transferred,2.2,"Children, pregnant women and girls and new mothers, and other nutritionally vulnerable populations benefit from programmes to prevent and treat malnutrition and improve diets",A.10.2,Total Value (USD) of individual capacity strengthening transfers in support of learning to prevent or treat malnutrition,N/A,TRUE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,2,2,523180,2583443,494%
Resources transferred,2.2,"Children, pregnant women and girls and new mothers, and other nutritionally vulnerable populations benefit from programmes to prevent and treat malnutrition and improve diets",A.6.1,Number of WFP-assisted health centres or sites,N/A,TRUE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,16,29,7337,6578,90%
Resources transferred,2.2,"Children, pregnant women and girls and new mothers, and other nutritionally vulnerable populations benefit from programmes to prevent and treat malnutrition and improve diets",A.6.2,Number of schools or institutional sites reached through school-based programming,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,1,1,494,494,100%
Resources transferred,2.3,School-age children and adolescents have access to school-based health and nutrition packages,A.6.1,Number of WFP-assisted health centres or sites,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,1,1,626,626,100%
Resources transferred,2.3,School-age children and adolescents have access to school-based health and nutrition packages,A.6.2,Number of schools or institutional sites reached through school-based programming,N/A,TRUE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,27,30,39544,38508,97%
Resources transferred,2.3,School-age children and adolescents have access to school-based health and nutrition packages,A.9,Number of households receiving school-based take-home rations,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,3,3,67528,122149,181%
Resources transferred,3.1,People and communities have access to productive assets to better cope with shocks and stressors,A.6.1,Number of WFP-assisted health centres or sites,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,1,1,120,247,206%
Resources transferred,3.1,People and communities have access to productive assets to better cope with shocks and stressors,A.6.2,Number of schools or institutional sites reached through school-based programming,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,1,1,168,168,100%
Resources transferred,3.3,"Smallholder farmers and value chain actors have increased capacity to produce and aggregate marketable surpluses, reduce post-harvest losses, access markets and leverage linkages to schools",A.6.1,Number of WFP-assisted health centres or sites,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,2,2,5,5,100%
Resources transferred,3.3,"Smallholder farmers and value chain actors have increased capacity to produce and aggregate marketable surpluses, reduce post-harvest losses, access markets and leverage linkages to schools",A.6.2,Number of schools or institutional sites reached through school-based programming,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,5,5,7872,8704,111%
Resources transferred,3.3,"Smallholder farmers and value chain actors have increased capacity to produce and aggregate marketable surpluses, reduce post-harvest losses, access markets and leverage linkages to schools",A.9,Number of households receiving school-based take-home rations,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,1,1,15972,11979,75%
